"","state","geocoded_state","issue","date","critical_staffing_shortage_today_yes","critical_staffing_shortage_today_no","critical_staffing_shortage_today_not_reported","critical_staffing_shortage_anticipated_within_week_yes","critical_staffing_shortage_anticipated_within_week_no","critical_staffing_shortage_anticipated_within_week_not_reported","hospital_onset_covid","hospital_onset_covid_coverage","inpatient_beds","inpatient_beds_coverage","inpatient_beds_used","inpatient_beds_used_coverage","inpatient_beds_used_covid","inpatient_beds_used_covid_coverage","previous_day_admission_adult_covid_confirmed","previous_day_admission_adult_covid_confirmed_coverage","previous_day_admission_adult_covid_suspected","previous_day_admission_adult_covid_suspected_coverage","previous_day_admission_pediatric_covid_confirmed","previous_day_admission_pediatric_covid_confirmed_coverage","previous_day_admission_pediatric_covid_suspected","previous_day_admission_pediatric_covid_suspected_coverage","staffed_adult_icu_bed_occupancy","staffed_adult_icu_bed_occupancy_coverage","staffed_icu_adult_patients_confirmed_suspected_covid","staffed_icu_adult_patients_confirmed_suspected_covid_coverage","staffed_icu_adult_patients_confirmed_covid","staffed_icu_adult_patients_confirmed_covid_coverage","total_adult_patients_hosp_confirmed_suspected_covid","total_adult_patients_hosp_confirmed_suspected_covid_coverage","total_adult_patients_hosp_confirmed_covid","total_adult_patients_hosp_confirmed_covid_coverage","total_pediatric_patients_hosp_confirmed_suspected_covid","total_pediatric_patients_hosp_confirmed_suspected_covid_coverage","total_pediatric_patients_hosp_confirmed_covid","total_pediatric_patients_hosp_confirmed_covid_coverage","total_staffed_adult_icu_beds","total_staffed_adult_icu_beds_coverage","inpatient_beds_utilization_coverage","inpatient_beds_utilization_numerator","inpatient_beds_utilization_denominator","percent_of_inpatients_with_covid_coverage","percent_of_inpatients_with_covid_numerator","percent_of_inpatients_with_covid_denominator","inpatient_bed_covid_utilization_coverage","inpatient_bed_covid_utilization_numerator","inpatient_bed_covid_utilization_denominator","adult_icu_bed_covid_utilization_coverage","adult_icu_bed_covid_utilization_numerator","adult_icu_bed_covid_utilization_denominator","adult_icu_bed_utilization_coverage","adult_icu_bed_utilization_numerator","adult_icu_bed_utilization_denominator","deaths_covid","deaths_covid_coverage","icu_patients_confirmed_influenza","icu_patients_confirmed_influenza_coverage","on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses","on_hand_supply_therapeutic_b_bamlanivimab_courses","on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses","previous_day_admission_adult_covid_confirmed_18_19","previous_day_admission_adult_covid_confirmed_18_19_coverage","previous_day_admission_adult_covid_confirmed_20_29","previous_day_admission_adult_covid_confirmed_20_29_coverage","previous_day_admission_adult_covid_confirmed_30_39","previous_day_admission_adult_covid_confirmed_30_39_coverage","previous_day_admission_adult_covid_confirmed_40_49","previous_day_admission_adult_covid_confirmed_40_49_coverage","previous_day_admission_adult_covid_confirmed_50_59","previous_day_admission_adult_covid_confirmed_50_59_coverage","previous_day_admission_adult_covid_confirmed_60_69","previous_day_admission_adult_covid_confirmed_60_69_coverage","previous_day_admission_adult_covid_confirmed_70_79","previous_day_admission_adult_covid_confirmed_70_79_coverage","previous_day_admission_adult_covid_confirmed_80plus","previous_day_admission_adult_covid_confirmed_80plus_coverage","previous_day_admission_adult_covid_confirmed_unknown","previous_day_admission_adult_covid_confirmed_unknown_coverage","previous_day_admission_adult_covid_suspected_18_19","previous_day_admission_adult_covid_suspected_18_19_coverage","previous_day_admission_adult_covid_suspected_20_29","previous_day_admission_adult_covid_suspected_20_29_coverage","previous_day_admission_adult_covid_suspected_30_39","previous_day_admission_adult_covid_suspected_30_39_coverage","previous_day_admission_adult_covid_suspected_40_49","previous_day_admission_adult_covid_suspected_40_49_coverage","previous_day_admission_adult_covid_suspected_50_59","previous_day_admission_adult_covid_suspected_50_59_coverage","previous_day_admission_adult_covid_suspected_60_69","previous_day_admission_adult_covid_suspected_60_69_coverage","previous_day_admission_adult_covid_suspected_70_79","previous_day_admission_adult_covid_suspected_70_79_coverage","previous_day_admission_adult_covid_suspected_80plus","previous_day_admission_adult_covid_suspected_80plus_coverage","previous_day_admission_adult_covid_suspected_unknown","previous_day_admission_adult_covid_suspected_unknown_coverage","previous_day_admission_influenza_confirmed","previous_day_admission_influenza_confirmed_coverage","previous_day_deaths_covid_and_influenza","previous_day_deaths_covid_and_influenza_coverage","previous_day_deaths_influenza","previous_day_deaths_influenza_coverage","previous_week_therapeutic_a_casirivimab_imdevimab_courses_used","previous_week_therapeutic_b_bamlanivimab_courses_used","previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used","total_patients_hospitalized_confirmed_influenza","total_patients_hospitalized_confirmed_influenza_coverage","total_patients_hospitalized_confirmed_influenza_covid","total_patients_hospitalized_confirmed_influenza_covid_coverage","inpatient_beds_utilization","percent_of_inpatients_with_covid","inpatient_bed_covid_utilization","adult_icu_bed_covid_utilization","adult_icu_bed_utilization"
"1","PA",NA,20240503,20210101,28,195,6,32,191,6,98,223,37255,229,27759,229,6844,223,620,229,528,223,5,222,35,222,3124,229,1261,223,1243,229,6764,223,5837,229,80,222,43,222,4008,229,229,27759,37255,223,6844,27567,223,6844,36862,223,1261,3891,229,3124,4008,128,223,2,222,2091,4311,0,1,224,16,224,20,224,26,224,89,225,115,224,160,224,184,224,9,220,3,217,33,218,44,217,28,218,59,218,103,218,108,218,118,217,32,212,4,222,0,222,0,222,5,104,0,26,223,NA,NA,0.74510803918937,0.248267856495085,0.185665454940047,0.32408121305577,0.779441117764471
"2","PA",NA,20240503,20210102,32,191,6,36,187,6,59,223,37464,229,27509,229,6576,223,498,229,500,223,4,221,20,221,3029,229,1263,223,1239,229,6498,223,5767,229,78,221,40,221,3974,229,229,27509,37464,223,6576,27324,223,6576,37069,223,1263,3855,229,3029,3974,112,223,2,221,1363,3155,0,1,224,13,224,24,224,27,224,68,224,92,224,110,223,150,224,20,218,3,217,41,217,33,217,45,217,58,217,86,217,105,217,108,217,21,211,3,221,0,221,0,221,5,54,0,25,222,NA,NA,0.73427824044416,0.240667545015371,0.177398904745205,0.327626459143969,0.762204328132864
"3","PA",NA,20240503,20210103,33,190,6,37,186,6,67,223,37144,229,27801,229,6489,223,618,229,505,223,7,221,27,221,3071,229,1273,223,1245,229,6419,223,5851,229,70,221,44,221,3945,229,229,27801,37144,223,6489,27608,223,6489,36751,223,1273,3826,229,3071,3945,99,223,2,221,1223,3111,0,2,224,15,223,28,224,32,224,75,224,137,224,145,223,177,224,10,218,3,218,28,218,45,218,29,218,51,218,97,218,92,218,135,218,25,214,3,221,0,221,0,221,5,64,0,26,222,NA,NA,0.748465431832867,0.235040567951318,0.176566624037441,0.332723470987977,0.778453738910013
"4","PA",NA,20240503,20210104,28,171,6,32,167,6,62,199,35240,205,26836,205,6490,199,544,205,473,199,5,198,18,198,3087,205,1308,199,1267,205,6431,199,5940,205,59,198,42,198,3853,205,205,26836,35240,199,6490,26625,199,6490,34847,199,1308,3737,205,3087,3853,111,199,1,198,1403,3207,0,0,202,18,201,23,201,31,202,77,202,117,202,124,202,150,202,4,194,3,194,38,194,26,194,41,194,62,194,88,194,96,194,96,193,23,188,2,198,0,198,1,198,4,68,0,13,199,NA,NA,0.761520998864926,0.243755868544601,0.186242718167992,0.35001337971635,0.801193874902673
"5","PA",NA,20240503,20210105,34,164,6,36,162,6,70,197,34959,204,27606,204,6673,198,673,204,661,198,7,196,34,196,3195,204,1269,197,1217,203,6597,198,5997,204,76,196,40,196,3903,204,204,27606,34959,198,6673,27372,198,6673,34562,197,1269,3784,204,3195,3903,127,197,1,196,1442,3433,0,0,199,16,200,26,198,40,199,81,199,142,199,182,199,182,200,4,195,5,192,42,192,58,192,48,192,73,193,129,192,142,192,147,191,17,189,0,197,0,196,0,196,3,86,0,11,198,NA,NA,0.789667896678967,0.243789273710361,0.193073317516347,0.335359408033827,0.818601076095311
"6","PA",NA,20240503,20210106,35,187,6,37,185,6,111,222,37324,228,30060,228,6590,222,585,228,536,222,7,222,30,222,3189,228,1225,222,1191,228,6508,222,5829,228,82,222,39,222,3925,228,228,30060,37324,222,6590,29823,222,6590,36930,222,1225,3809,228,3189,3925,115,222,1,222,2454,4390,0,3,226,13,225,27,225,28,226,72,226,134,226,151,227,149,227,20,223,4,219,27,219,38,219,40,219,75,220,125,219,106,219,107,218,37,217,3,222,0,222,0,222,23,501,0,15,222,NA,NA,0.805379916407673,0.220970391979345,0.178445708096399,0.321606720924127,0.812484076433121
"7","PA",NA,20240503,20210107,33,189,6,36,186,6,111,222,37444,228,30127,228,6406,222,582,228,539,222,5,221,25,221,3197,228,1217,222,1173,228,6347,222,5671,228,59,221,35,221,3954,228,228,30127,37444,222,6406,29880,222,6406,37053,222,1217,3836,228,3197,3954,104,222,2,221,2337,4020,0,3,223,12,222,25,222,43,223,72,224,122,223,136,224,147,223,39,222,4,216,39,216,37,216,43,216,83,216,117,216,111,216,97,215,24,214,5,221,0,221,0,221,19,439,0,16,222,NA,NA,0.804588185022968,0.214390896921017,0.172887485493752,0.31725755995829,0.808548305513404
"8","PA",NA,20240503,20210108,36,186,6,40,182,6,111,222,33211,228,27338,228,6212,222,569,228,541,222,9,221,30,221,3132,228,1176,222,1134,228,6138,222,5439,228,74,221,37,221,3892,228,228,27338,33211,222,6212,27115,222,6212,32816,222,1176,3775,228,3132,3892,99,222,1,221,3144,5951,0,1,225,15,224,17,225,40,225,71,226,130,226,125,226,156,225,35,222,2,220,37,220,38,220,46,220,76,220,103,220,102,220,110,220,46,214,6,221,0,221,0,221,3,129,0,18,222,NA,NA,0.823161000873205,0.229098285082058,0.189297903461726,0.311523178807947,0.804727646454265
"9","PA",NA,20240503,20210109,36,186,6,37,185,6,106,222,33331,228,26901,228,6148,222,658,228,556,222,6,221,33,221,3183,228,1162,222,1136,228,6076,222,5496,228,72,221,39,221,4013,228,228,26901,33331,222,6148,26682,222,6148,32934,222,1162,3894,228,3183,4013,74,222,1,221,2742,5000,0,0,225,12,224,26,224,42,225,87,224,128,225,149,225,192,224,27,222,3,220,31,220,30,219,38,219,75,219,113,219,123,219,118,219,28,215,6,221,0,221,0,221,17,157,0,19,222,NA,NA,0.807086496054724,0.230417509931789,0.186676383069169,0.298407806882383,0.793172190381261
"10","PA",NA,20240503,20210110,32,190,6,35,187,6,102,222,33174,228,26078,228,5871,222,549,228,389,222,4,221,21,221,3114,228,1146,222,1113,228,5804,222,5300,228,67,221,37,221,4020,228,228,26078,33174,222,5871,25866,222,5871,32779,222,1146,3901,228,3114,4020,104,222,3,221,3482,6235,0,2,223,12,222,25,222,24,222,80,224,106,222,122,222,163,224,20,222,1,219,27,218,27,217,29,218,54,217,78,216,73,217,89,217,16,216,4,221,0,221,0,221,16,145,0,22,222,NA,NA,0.786097546271176,0.226977499420088,0.179108575612435,0.293770827992822,0.774626865671642
